tag	nonce	classical	n_shots	rung	ms	pair_ms	sim_ms	stream_fp
sj2d1	62000008397027	11	9024	9024	7475	2311	5164	b99b9a18e9aa97f3183a81641ec761de
sj2d1	62000008397028	5	9024	9024	5794	1864	3929	d7eb38903fabbd53438b9e6b3f124ca6
sj2d2	62000008397025	3	9024	9024	6995	2427	4568	4687c63d8c4351808bc64aae7584ef7d
sj2d2	62000008397026	8	9024	9024	8594	2640	5954	db60f5423c41c614350217c5b3779c43
sj2d2	62000008397027	7	9024	9024	8342	2627	5715	f5564d699dcb55b14109dec7b3538691
sj2d2	62000008397028	9	9024	9024	8852	3919	4932	f6f252e9d266bd0822dad4d16bf51cd1
sj2d2	62000008397029	4	9024	9024	6376	1946	4429	3485398ca7e413cd13a9abcf0d1da396
sj2d2	62000008397030	8	9024	9024	8870	2351	6518	e09d34e4b261b9ec9872f21691001a1c
sj2d2	62000008397031	8	9024	9024	10701	2913	7787	080c41469e1bd8791ab22a6eafe5e80c
sj2d2	62000008397032	9	9024	9024	8703	3080	5622	ac41141039c9a12b1ba0c28a5f9b3def
sj2d2	62000008397033	4	9024	9024	9471	3015	6455	d63934098210212c17baed128c519722
sj2d2	62000008397034	9	9024	9024	7793	3220	4572	2ba7e50c2432a965fb7078f298b9e64a
sj2d2	62000008397035	5	9024	9024	10073	2134	7939	1cbd0bdd4b0686f87db0048e1b091bed
sj2d2	62000008397036	6	9024	9024	9421	2358	7063	029de3f4a54dc30e47b4ee7ed2150018
sj2d2	62000008397037	11	9024	9024	6779	1643	5135	95fc12f71182ee14f3702ccec4d49229
sj2d2	62000008397038	5	9024	9024	6861	1925	4935	bd030b829b7098d2946d00b1ceca9bf2
sj2d2	62000008397039	11	9024	9024	7527	1929	5597	13c0b675544d84e0903166623d1b8bd6
sj2d2	62000008397040	9	9024	9024	6996	2143	4852	b2765af3d886bca73c7b81b5912aaeea
sj2d2	62000008397041	3	9024	9024	10449	3609	6840	2d474dc38516f00c95eeb92a85daba22
sj2d2	62000008397042	6	9024	9024	8368	2354	6013	2067e20730f97605beb96b3758ee7df3
sj2d2	62000008397043	2	9024	9024	7523	2064	5458	95c6d7276114ccc5070f08c3272bad03
sj2d2	62000008397044	5	9024	9024	9670	3287	6382	cb28ddcb4e6c3845132b7ac7d9ac7d40
sj2d2	62000008397045	9	9024	9024	8641	3331	5310	828e7f6f659516578929bfa6c3128c18
sj2d2	62000008397046	4	9024	9024	10442	2592	7849	28368bc34e821c334b41bc9bd540da5f
sj2d2	62000008397047	5	9024	9024	9922	3536	6386	212359d82636391bdacd1429e00bd935
sj2d2	62000008397048	4	9024	9024	8930	2830	6100	89f72b60598636e1b6bad53ca4047479
sj2d2	62000008397049	5	9024	9024	10431	4029	6401	2d0aa839ad455df8f0ad5a635c18e1a3
sj2d2	62000008397050	14	9024	9024	7964	2357	5606	f32f4ab604be8c1a215604541a59a252
sj2d2	62000008397051	1	9024	9024	7750	2365	5384	2fefaf41586fc42a790feef25a1b1ac2
sj2d2	62000008397052	5	9024	9024	8919	4110	4808	802df55160e6796c5d93b6e7b16fdbfc
sj2d2	62000008397053	6	9024	9024	7598	1828	5770	2103b70444e70988afcb6ab0576f0394
sj2d2	62000008397054	9	9024	9024	10983	3278	7704	3576a294e29544069602b5297d30dc6b
sj2d2	62000008397055	6	9024	9024	8410	3227	5183	de8b1ebdf5d083e0b5479ca45af3db72
sj2d2	62000008397056	4	9024	9024	9206	3156	6050	f2eab542c13beebd93016433d525e27f
sj2d2	62000008397057	3	9024	9024	7002	2551	4451	203282a9c5fd0748aedfddcd50cbaf6b
sj2d2	62000008397058	7	9024	9024	8471	2102	6369	697e796d670e54cdf1d09b8f5d291680
sj2d2	62000008397059	8	9024	9024	7001	1681	5320	8c5d2cb942de82a71d4e81981c1bb6c7
sj2d2	62000008397060	3	9024	9024	8991	2458	6532	208a1b5c01134ef5c54d7ea7e00cbe09
sj2d2	62000008397061	10	9024	9024	8439	2290	6148	3a92499ccd73868f6085b170466cd7f5
sj2d2	62000008397062	7	9024	9024	8586	2952	5634	7f6804badc9351420fa2749422667a2c
sj2d2	62000008397063	4	9024	9024	9773	4213	5559	6375a252a0847740d9fc0901e891c0a0
sj2d2	62000008397064	3	9024	9024	11804	4025	7779	4461fd9e8e10404b70a6b8d45767f0d5
sj2d2	62000008397065	6	9024	9024	9708	3228	6479	4d6b318903bfa3fadd1cf65708ecc570
sj2d2	62000008397066	3	9024	9024	8210	2202	6008	7fcd51bbb76d79cbae73d3a60d59ecf2
sj2d2	62000008397067	11	9024	9024	10318	4387	5930	03703afa1717e9d32ef219fdf4ed082f
sj2d2	62000008397068	6	9024	9024	8801	2794	6006	17f167349817c987c8c5040608c0f48e
sj2d2	62000008397069	6	9024	9024	8112	3072	5039	74ecb6064ab55e8f1ce297295d6ae44c
sj2d2	62000008397070	6	9024	9024	7499	2508	4990	058a442341ecf05c3118cccbe4e903b6
sj2d2	62000008397071	5	9024	9024	8295	2740	5554	69488c728addff43402daa8de962a790
sj2d2	62000008397072	6	9024	9024	6746	1771	4974	b34c414025d4c81d8f100cdd7c34eee4
sj2d2	62000008397073	1	9024	9024	6424	1916	4507	3b9e423fa28be7469a405d436874db37
sj2d2	62000008397074	2	9024	9024	7036	2338	4697	d7c7d3e65b6e3e371e11566da4749379
sj2d2	62000008397075	4	9024	9024	8834	2474	6359	26d83a855a231f6a8cb7b402b61b8cf8
sj2d2	62000008397076	1	9024	9024	9231	2901	6329	81c416122a00e44c998e98afa9d2c006
sj2d2	62000008397077	4	9024	9024	8293	2596	5696	88c2bcc8d10a5315106b4d1b63cecee3
sj2d2	62000008397078	4	9024	9024	7226	1723	5502	cd425067c6f85227cd998b907fba8e82
sj2d2	62000008397079	10	9024	9024	9604	3445	6159	f28ca984f7e18faebdcdf47af23d085c
sj2d2	62000008397080	6	9024	9024	7218	2760	4457	7abb7875a28f330ae12542f39e2c0458
sj2d2	62000008397081	2	9024	9024	7633	2553	5080	15e6bdd19b24c2a2c0f06e42159231b3
sj2d2	62000008397082	6	9024	9024	10344	3099	7245	bf517caf8921da21fdaa7f66e9d8df0d
sj2d2	62000008397083	4	9024	9024	5465	1820	3644	72d0c89031431a8948869c2a6fa1c2b4
sj2d2	62000008397084	3	9024	9024	7383	2164	5218	57b11809055779334092855c7d0c92f3
sj2d2	62000008397085	4	9024	9024	7038	2378	4660	9ea2822586bebc718ac69fba44ffe4d5
sj2d2	62000008397086	6	9024	9024	5674	1820	3854	ce3af67474433f37e010e2142b935587
sj2d2	62000008397087	7	9024	9024	8710	3683	5026	f377aec1689df9151f3561ec7786287a
sj2d2	62000008397088	10	9024	9024	6982	2368	4614	5b0ae1a61f42ec3f8461029a607a047e
sj2d2	62000008397089	1	9024	9024	8271	2410	5860	a89d74dc814efab38fe4caaffa41ebc0
sj2d2	62000008397090	7	9024	9024	7887	2689	5197	385cbf07302dcaedc18b941b66438359
sj2d2	62000008397091	4	9024	9024	7570	2645	4924	11d787ad1cee2f2bf7068eeca10c26f3
sj2d2	62000008397092	0	9024	9024	9103	2210	6893	09109d798e6e52ff2024d4f755eb8c2b
sj2d2	62000008397093	4	9024	9024	7178	1736	5441	dbe9e5f5955d0f7f7c4109c67231b7bf
sj2d2	62000008397094	2	9024	9024	7693	2675	5018	be975d8c1b654feefa14360d75285150
sj2d2	62000008397095	7	9024	9024	7571	2789	4781	499a15c10c35cdf78d3d059177209111
sj2d2	62000008397096	4	9024	9024	9202	2336	6866	4a9e00d624baf6c929cdca5418867dec
sj2d2	62000008397097	7	9024	9024	7779	2299	5480	62034fccc94b12c8b81a981d27f10bb3
sj2d2	62000008397098	6	9024	9024	7009	2237	4772	65e49f7505e92d1c368152d7b68eebba
sj2d2	62000008397099	3	9024	9024	7441	1878	5562	a0df12d6d9f37af7004f62437e0b266f
sj2d2	62000008397100	8	9024	9024	7710	2576	5134	41e2b535eb3b6e822dda865435448507
sj2d2	62000008397101	9	9024	9024	6517	2055	4461	f5ce98b157407f38a18e676220460039
sj2d2	62000008397102	4	9024	9024	8190	3096	5093	6f27349c8c8cd3c936f6a2ab45207d01
sj2d2	62000008397103	5	9024	9024	9068	3720	5347	69f27bcdeaf58c905842bca2174c5896
