nonce	classical	phase	ancilla	md5
62000008397025	3	4	0	c46138cce1d52d87e2cd90489173a60c
62000008397026	8	5	0	f2576b18a8cfc98c7fb78dabd43cffc0
62000008397027	7	7	0	553c52b36465d3971713fe8e4abce19f
62000008397028	9	6	0	754819bfdbd5b488cb1a251c80ac0d90
62000008397029	4	4	0	5ca9c2d2096095330643ed65d01b0040
62000008397030	8	13	0	cdaad929527dca768fa7381302ded87c
62000008397031	8	5	0	7fc7f2794f0081f64f3ac8b140b5841d
62000008397032	9	9	0	74bf7ebe08fd6ca2e8c21d70871fa2cb
62000008397033	4	7	0	5ba3b836ccf6f0cdc52783ac5178b30a
62000008397034	9	12	0	fbeb695dc10d2cf91af58470f3d48f8e
62000008397035	5	4	0	93671cf56982b97442a34324bf75dbe0
62000008397036	6	7	0	b7ecea5955c121c335703cd72f636718
62000008397037	11	10	0	62ce1b7093e6823aaaff6920271d6925
62000008397038	5	5	0	4aab8a52d483b0a97a2b2e22e661e6ab
62000008397039	11	8	0	1d2c26287bb6032717cf9e379e8bf392
62000008397040	9	9	0	efb55a9182fe4db25886ea94b8749429
62000008397041	3	5	0	86f3bb7fc93515e3d1317ed4e178caab
62000008397042	6	5	0	8236dc872c3d81b99fdf7772ff4a09bd
62000008397043	2	4	0	8f54c60a918c00880b8f28605b777b34
62000008397044	5	9	0	14819609474d735b4f8e67b560af012b
62000008397045	9	4	0	f28bc36219316ebbd428aa1c1fb11be8
62000008397046	4	5	0	4bcced8d98fa53a57d976fa4daffd850
62000008397047	5	7	0	2c25efc954ffcf8f0244f3ba0b5fea7a
62000008397048	4	7	0	ebd6f58e19c4d8ae91ab7bbcc3ef7586
62000008397049	5	8	0	5148ebd659bd36fe8cd2483aa957c4bb
62000008397050	14	14	0	3730905b3b4b1bb729a26a9bd7865bbc
62000008397051	1	4	0	e44548eef837002295124f5623db6ed6
62000008397052	5	7	0	9703b929522a55a6a53c5d3789587569
62000008397053	6	4	0	816465d6c098885355a12256196a081f
62000008397054	9	7	0	a1ffe44e74c82ea942168110cb0f3243
62000008397055	6	7	0	ccb7741966c2a1df97f9cc288131af3a
62000008397056	4	5	0	7ff379b4396ee0c99fe6c0a74d386c37
62000008397057	3	5	0	26ecc970ec3a749bca7275e26c37bdf8
62000008397058	7	5	0	d8f3e675e3ad74afd649220b7b90c7b4
62000008397059	8	7	0	2b15d6dd23e873e91c2fd50d991b48fd
62000008397060	3	5	0	433eed1cccb70c12ccc42b0eddfde1ab
62000008397061	10	12	0	abc679d662099e9c0623619c9b038fa9
62000008397062	7	7	0	5d9ac6eefa9a31ac7bd816a5c4da4f86
62000008397063	4	4	0	cd8734e4fb647efa2a96fe1fcf57c113
62000008397064	3	7	0	ea016a416937047e4ddc5878381f550f
62000008397065	6	3	0	77639013617172da51c5986f0914c487
62000008397072	6	5	0	a583d5be6880804eba39b973ddcddefc
