tag	nonce	classical	n_shots	rung	ms	pair_ms	sim_ms	stream_fp
i259s0	62000008397025	12	9024	9024	7315	2218	5096	50fe4daea132c25945a982edd93eab93
i259s0	62000008397026	17	9024	9024	4229	1545	2684	e9185378fe910c1ba386dded18ebd056
i259s0	62000008397027	15	9024	9024	4252	1392	2859	886f5da8ee48115e80a1c0dd9a3dfcbb
i259s0	62000008397028	16	9024	9024	4061	1394	2667	4dee886292620df807b2bb57cf5f1e41
i259s0	62000008397029	23	9024	9024	7208	2154	5053	42a0c4aa84b6c8beacfc195c7af7d0fb
i259s0	62000008397030	19	9024	9024	4146	1424	2722	0d90a7c7c3ba38b8b38d785660d44a53
i259s0	62000008397031	15	9024	9024	5904	1393	4511	59afeef5fbbfba4610c122d2541ea663
i259s0	62000008397032	16	9024	9024	4076	1414	2662	f60c24f74fcc648e84dfcbb98d85a533
i259s0	62000008397033	19	9024	9024	7241	2340	4900	3b73b245f193f778e67b0c0e79fb096d
i259s0	62000008397034	17	9024	9024	7233	2344	4889	81a955ef17973f08d44aa988d365142c
i259s0	62000008397035	14	9024	9024	4133	1412	2720	67181ed70391234df122d1e30763f670
i259s0	62000008397036	21	9024	9024	7269	2166	5102	435e1b9325c9b1428b58929e937d2d75
i259s0	62000008397037	15	9024	9024	7345	2436	4909	2267ed1f19b937d55a43c8bcfaa28757
i259s0	62000008397038	24	9024	9024	7286	2354	4932	3a15705371ab7f04936aaf3376fc2ff6
i259s0	62000008397039	16	9024	9024	7318	2397	4920	ff48c4776dc3eda024748bbed1822825
i259s0	62000008397040	18	9024	9024	4192	1454	2738	bde39eb7c15bb1fcbd2ab6b245a8849d
i259s0	62000008397041	16	9024	9024	5071	1487	3583	c0143f39429a1be628ffcfd39f627b69
i259s0	62000008397042	22	9024	9024	7283	2310	4973	07998375785c38a4de27082ac57b91a5
i259s0	62000008397043	14	9024	9024	4225	1444	2780	b2092972d36da91aca263eccb2819507
i259s0	62000008397044	21	9024	9024	7869	2617	5251	4044c781a0c7f67d7288bfb56ba48580
i259s0	62000008397045	14	9024	9024	4529	1412	3116	b9619f147c2e621cdff87b949951f109
i259s0	62000008397046	16	9024	9024	7593	2595	4997	96a3b370fcb98a3dab95ea02bae0ce05
i259s0	62000008397047	15	9024	9024	4198	1380	2818	5140faf6893ffbb3ae042d57811febfe
i259s0	62000008397048	14	9024	9024	8002	2747	5254	4ef15de321868c8709fa1420ba8f794b
