block	nonce	exit	classical	phase	ancilla	avgT	md5
A	200321420125	0	0	0	0	1288101.386	ef30945f3afcb369192ea32897232d2f
A	200321420129	1	15	7	0	1288122.767	ccac7ce52a72676990bb23f086252fba
A	200321420128	1	18	9	0	1288101.658	f4c1fcde851248e578b9a3701a1b1236
A	200321420126	1	19	15	0	1288103.752	391f45f80b28a752f8ee920aca4c1515
A	200321420127	1	24	12	0	1288107.016	e9b89558872234250c42d9334236075a
A	200321420130	1	12	3	0	1288110.114	bb5fb0bbbf887e7cbc2dec2823b2903f
A	200321420131	1	20	11	0	1288110.679	8721bfa1e6a0de7c09f0bbd9588f675d
A	200321420132	1	12	11	0	1288115.211	307ff6807cb2ad9850603a602107ec6b
A	200321420134	1	11	10	0	1288115.673	f0dc76ad1f7bc3481f2cbf498a75fcea
A	200321420133	1	24	12	0	1288113.793	c82fe343920332bfc90431365b135f9d
A	200321420136	1	25	15	0	1288113.609	49fc86da8ac1e4fd19fee2eaf0193c54
A	200321420135	1	19	10	0	1288108.335	fd1fb9abc82a4f8f3e38e426968c6514
A	200321420137	1	17	9	0	1288124.540	4c5057de7d68931864ff180380a93820
A	200321420138	1	25	17	0	1288111.627	53a08931b535f9dbcf6c442e4799926a
A	200321420140	1	19	12	0	1288119.440	927f6d2e7a7451919ccc650bf06adf03
A	200321420142	1	9	7	0	1288120.672	58e211f015db74e5733a51e4b2456990
A	200321420139	1	15	8	0	1288115.573	c73a5618651d1d87953de3da27c821c8
A	200321420141	1	20	10	0	1288115.106	47abd826590eb63ebd9f95197ccc623d
A	200321420143	1	15	8	0	1288111.947	513743412d1db98b620da486b047c25a
A	200321420144	1	23	15	0	1288113.988	c8fb157add629fdd615b471bd6d80221
A	200321420148	1	13	9	0	1288114.991	1a36ace5928fa019d17eb6110714a4b6
A	200321420146	1	16	15	0	1288108.305	1cce2e8792f084e24ce87d3814adf082
A	200321420147	1	15	16	0	1288119.907	a0ce12041f850bf769ad4a8758b4ca1a
A	200321420145	1	15	9	0	1288123.327	92341f56de1656ab477f542bc5068329
A	200321420149	1	18	15	0	1288113.702	f67ceaebf0176f78d459eca7828229de
A	200321420150	1	19	13	0	1288125.188	098ea2468d4c4af48e050060ffe33167
A	200321420154	1	8	4	0	1288122.779	a3fc5694b8ff1c6814a39c14a8479075
A	200321420152	1	19	10	0	1288125.987	e0f633215b4c87c7a8da4ea3a4e19f25
A	200321420153	1	12	13	0	1288130.164	50592ad3bda89428e663a6d47bdf1010
A	200321420151	1	18	11	0	1288108.613	a6391d4825e01f9cc5f76eae573272b5
A	200321420155	1	23	11	0	1288111.618	9be54e4369dc79153494616979e91829
A	200321420156	1	25	13	0	1288095.540	de0ee7b5f490385e40ef21521826a1d2
A	200321420158	1	9	10	0	1288123.863	4ff811e30f5e1664e348210deb998600
A	200321420159	1	20	14	0	1288107.574	c8870eca9ee24e45cd6f82cd61653fe3
A	200321420160	1	21	11	0	1288103.163	651a9e22f5f8411b7c87f211c007b6c1
A	200321420157	1	23	18	0	1288099.282	0dbd3b3245f99cea49efe66b5bea24df
A	200321420161	1	18	10	0	1288118.346	eaa0b3627f64a805e49034c291585a7c
A	200321420162	1	20	10	0	1288115.177	9d88bf9f5fb36697df4bbd85019244c0
A	200321420164	1	21	11	0	1288125.295	6ff7dd9cf599a83cdec6d2c9b47eea32
A	200321420165	1	25	12	0	1288106.790	82fb6ec470c528475d321f91d27e04bf
A	200321420163	1	19	15	0	1288116.691	6075273d4baa49cc3bd79d9613f1746c
A	200321420167	1	12	11	0	1288117.220	5f0f2717227481822e6ca98ecba2446a
A	200321420166	1	19	12	0	1288125.400	fec44deb5e323477a01a8391c9ee8a3d
A	200321420168	1	17	8	0	1288119.567	2a6ddf1798031ea591011616068c6994
A	200321420171	1	17	11	0	1288110.731	c0df242b73df46a7e1c0efd7a3131ecb
A	200321420169	1	22	12	0	1288121.926	2ba580d9ec01749ee84c8173085e5734
A	200321420170	1	24	14	0	1288129.905	935d219d17e70f97e49af300f3391326
A	200321420173	1	16	9	0	1288103.800	326ae5318993b062a4d16e96fa681d23
A	200321420174	1	20	15	0	1288112.047	9196768302d0996f929f68962c40e257
A	200321420172	1	18	16	0	1288109.952	f56e3bbe4ab9c1c3fbce0982ee69ac07
A	200321420177	1	15	11	0	1288110.902	da729a3d294227efa410e109869db5e0
A	200321420176	1	18	14	0	1288112.911	18041eda7df786eba9862c3620528acb
A	200321420175	1	25	15	0	1288129.854	2fe7e43483d3f5423398a7c0872280e9
A	200321420179	1	12	12	0	1288099.802	457119bb1d53ca6b7551e2afcfc90cd7
A	200321420180	1	12	8	0	1288125.036	3b19d5529e50a78f4453bfb7b0a1ebe5
A	200321420178	1	9	11	0	1288119.213	22d8e6076b059142ddf1ee01f6a63109
A	200321420183	1	12	5	0	1288108.466	999f4ea6722535f0d040c78043ebb34c
A	200321420181	1	18	12	0	1288114.560	6c535bf39dde81e9034fbe5c27616338
A	200321420182	1	15	11	0	1288117.454	07f7d523a925d2565b43c2954c8b4f15
A	200321420185	1	18	13	0	1288117.962	a471a995dddbcad8d37e1bba07a887c8
A	200321420184	1	25	19	0	1288114.696	a3dce2c8e3938ceeafbd97ebd592a398
A	200321420186	1	28	20	0	1288117.635	a012383a5575b97efb21057e6118e7d0
A	200321420189	1	10	15	0	1288111.106	33fc34c6dd94e30537bb35bf30c17673
A	200321420187	1	14	7	0	1288115.245	4f0ab87ff8a2508e987d6028adf273f6
A	200321420188	1	17	15	0	1288123.180	8cfd0a0e2fa79a540a5bfcf80f0535de
A	200321420191	1	21	14	0	1288110.733	440a7fa0413a687c53d09f9d90614852
A	200321420190	1	15	12	0	1288123.560	783c1f2963490da1cb95698ae7bcc51e
A	200321420192	1	24	13	0	1288102.807	82c968337aaa9a6c7f9bd68cc1396ae6
A	200321420195	1	12	6	0	1288120.158	b4d1ece129037691d5121edb3933d2c7
A	200321420193	1	15	11	0	1288104.529	4dcf742784a6fda2e5f68655133e299f
A	200321420194	1	16	16	0	1288116.117	58bca4e8b4fe4f2da318e42d6559ec8a
A	200321420197	1	23	16	0	1288117.156	69d0e92fe33376ed703048cd2eca9382
A	200321420196	1	17	10	0	1288111.273	4f87f626e838ffdf4b7f8c576be040cc
A	200321420198	1	22	10	0	1288132.886	bd01c7caba8d7c8940c91fa033c5eda0
A	200321420201	1	13	9	0	1288102.351	3e395248094e14c7c981739740cb31df
A	200321420199	1	16	9	0	1288109.141	732a1298b118b7a53985ced989c1e190
