block	nonce	exit	classical	phase	ancilla	avgT	md5
A	62000008397029	1	15	4	0	1289081.496	8fd9ddcd1234905d1dd7be5896347a6b
A	62000008397030	1	18	4	0	1289076.238	67dffc5d2a8e04ea7d824c1e0e6d569d
A	62000008397025	1	16	16	0	1289080.678	ddb49971626b147e40176dc69b387e70
A	62000008397027	1	13	8	0	1289068.570	118b5f36270fe49b23113cc576dbc000
A	62000008397026	1	16	12	0	1289079.384	781b9996921da2332e5c81255c070d55
A	62000008397031	1	18	15	0	1289068.034	b8f486431e52ecaae5b8147c6b474d18
A	62000008397036	1	12	9	0	1289070.110	f52d980bf46502a1d897d45cfcb04c7d
A	62000008397024	0	0	0	0	1289073.125	f5c5f98258ddb7a0b1f250750ad1c6d2
A	62000008397032	1	16	14	0	1289075.971	b54a531a46d26557613818b536717cd8
A	62000008397028	1	18	10	0	1289098.938	7eee3d507838cf51b0539d2371cbe4a5
A	62000008397034	1	18	15	0	1289073.200	9cd3db24795f5f4194660e79e3eb7939
A	62000008397037	1	17	11	0	1289082.918	e9eada2bd3e5756c2d6374ad46570a17
A	62000008397035	1	11	6	0	1289073.030	9a42eb1f8d1d7389a2e83cf72fe3facc
A	62000008397033	1	18	10	0	1289078.886	e85537835a57dba04127e8fcbcb3fc9d
A	62000008397050	1	11	12	0	1289083.246	0fbae69ae68b45126693cac3e6595134
A	62000008397040	1	13	9	0	1289077.674	70167c9be9ffcb0de6a811a098245b4b
A	62000008397044	1	15	6	0	1289073.583	c705a4aa34bbc51f1e27760dec9e0ea4
A	62000008397039	1	14	11	0	1289071.671	a65ec7ec59eba84bd7e9fdd1bd07c784
A	62000008397043	1	17	9	0	1289073.686	b90333da4ca469c4c5632084c6208842
A	62000008397051	1	17	13	0	1289074.331	d7b12fd5e2d33d4b228aa52f86271501
A	62000008397046	1	12	7	0	1289069.099	a8a9fd178f19e76969ed5415e6f01a7d
A	62000008397042	1	14	9	0	1289075.180	10a20eb8f95eb3a12126a793f5b1f6d5
A	62000008397041	1	11	15	0	1289090.783	02c5a62415b740e89a0369a4768e4682
A	62000008397038	1	20	18	0	1289075.796	55a4b96b637f82fbdf8c4b1499790286
A	62000008397047	1	13	9	0	1289077.896	5c9c1c66acf104967f6f699e5d85f750
A	62000008397045	1	23	14	0	1289089.813	0e33c22347e85957e1f1657f4ad7a024
A	62000008397048	1	15	10	0	1289087.830	488004d7934401b4cc5bc25298952e93
A	62000008397049	1	18	8	0	1289073.917	ea0a62b1dcec995445a7b8971fbdcc7d
A	62000008397058	1	17	8	0	1289076.833	555935425be2528406496f9ff4f8ae86
A	62000008397064	1	10	9	0	1289071.198	412ae7d14d33d5cd7eac520a233f3fc1
A	62000008397054	1	22	8	0	1289074.263	f6c080bb2f36c4c844dbcc6f84e2e134
A	62000008397056	1	16	11	0	1289068.136	8d6aa02f6cf91c2edadde2440d41127f
A	62000008397065	1	17	11	0	1289059.442	2bb47a6de3e25d8a0b3ee97148435a12
A	62000008397053	1	16	12	0	1289046.787	84c81f0bc6f4770c7810c4a0900605b1
A	62000008397059	1	21	17	0	1289062.053	15d555236eddb8e335b728e0b35c8748
A	62000008397061	1	14	11	0	1289071.389	c6e73298191c2e2436e41a21fd4fcb48
A	62000008397055	1	11	7	0	1289081.056	dd38fc7f04848ba3acc05322cdabc6b5
A	62000008397057	1	19	14	0	1289072.553	91ddfd3f256b94d9bf83aabd93abff16
A	62000008397060	1	10	5	0	1289071.179	aa51acba48b6d3f10c968aac97af9c5e
A	62000008397063	1	19	14	0	1289088.686	759cd07abd87c2285799e00295f02ced
A	62000008397062	1	15	13	0	1289076.535	ab221734695c258dfe016bc40add3c1d
A	62000008397052	1	24	17	0	1289074.518	7f2b08b2307564ca9e651e07f6f7ed1c
A	62000008397072	1	17	10	0	1289075.198	fc9120fa207943a7a1f4114ed16d5472
A	62000008397078	1	11	9	0	1289072.727	78ea19d04117f6aa914416c615a65f9a
A	62000008397068	1	26	11	0	1289075.927	0883d5bef13b3f5518249e3bd3487014
A	62000008397070	1	17	15	0	1289080.607	06e7a3cfa7e6bfa5d3036feb99c4f102
A	62000008397075	1	23	14	0	1289062.056	f13b94aad7b4ba2d862f32681eed3864
A	62000008397079	1	21	16	0	1289072.813	89a7b1e0ff48c5dd260813f29085b031
A	62000008397067	1	23	15	0	1289080.946	0a01b6d9b5b721f2b408f3a7f733ea69
A	62000008397069	1	10	8	0	1289074.482	9625abe73cfdc602d8f7be42f7fbda0f
A	62000008397077	1	23	14	0	1289080.352	6fed4307217ee11080f56373bbbf17d8
A	62000008397073	1	20	11	0	1289068.190	40e741105f5f98725041cd3c18f29a75
A	62000008397071	1	6	7	0	1289074.364	2e8b995e30ced0e5a25e7a50fb64fd7b
A	62000008397076	1	14	10	0	1289077.329	9a5fd739e8e0253b6addbd60f76f9082
A	62000008397074	1	18	12	0	1289070.304	526001b98fce7ad6588be205315afb11
A	62000008397066	1	16	9	0	1289070.760	e8f49ed62647b1db34758899d2fa4eff
A	62000008397086	1	21	12	0	1289074.401	673d750b198d782b1a3ac3e2815bdd60
A	62000008397089	1	16	17	0	1289088.427	96e73a79e6449c51e37bcdff4e63171c
A	62000008397092	1	22	16	0	1289084.175	3cb2f817db4784e3d11a73c224a82d11
A	62000008397082	1	13	7	0	1289078.652	9f004ba1be91f186396cc70fb4622da2
A	62000008397081	1	18	13	0	1289068.452	e24dc331ce2d68259c3271bb0cf5e35b
A	62000008397093	1	17	12	0	1289075.510	2abb1ff89edc6098a4a047a190d09ee0
A	62000008397084	1	13	6	0	1289078.378	44da0691dd2014a6c2ccc90835e74539
A	62000008397091	1	18	10	0	1289064.434	1cb40ba272538357ea13719a605580d2
A	62000008397088	1	23	15	0	1289072.487	dbdcc938cfd8ce130e7e9073bb52e4ef
A	62000008397090	1	17	9	0	1289076.189	232a9c10e9e580a0948eaf4bd8522327
A	62000008397083	1	15	11	0	1289079.210	e7996a76d401174b801475fe42c2e3df
A	62000008397087	1	10	7	0	1289081.424	acefdb8dfaf3409bbf0e41bf7b3aa822
A	62000008397085	1	15	7	0	1289066.362	a1dc4b03368f398d2bc044a0ead7e1e9
A	62000008397080	1	18	11	0	1289071.094	1de7e6732df1e8d433a0a5b685467dd7
A	62000008397100	1	18	12	0	1289079.024	c4ab52b18754005283d00ccc7549fde9
A	62000008397103	1	12	7	0	1289068.263	2ea7582d381b4d3a919c7eb09d2f91c6
A	62000008397106	1	18	12	0	1289073.740	44a6c1e6e25b7de81ac621b241b9a5fb
A	62000008397107	1	21	11	0	1289070.913	d59f8241b066e32ce2f1ac046d0795af
A	62000008397095	1	8	8	0	1289078.812	fbfb50b3be4268b32c4aa813f009dc7a
A	62000008397096	1	16	9	0	1289072.332	787950763b28f601d3946857fbcab08c
A	62000008397098	1	17	15	0	1289083.168	2aa5cb439aa3d855823cb7d87deb3e81
A	62000008397102	1	16	9	0	1289072.564	066045805e00b3f064d76d29616e33c0
A	62000008397104	1	14	9	0	1289068.130	1d6a75cbf02beec1bb70e33c438afb71
A	62000008397105	1	15	7	0	1289074.315	0ec706593c12ee22297fb3c4012d7d4e
A	62000008397097	1	15	6	0	1289082.336	93850843da4fa126dc241f1ee005c872
A	62000008397094	1	17	14	0	1289080.491	c15e6b3c0736a97876203382c10fd1fe
A	62000008397101	1	17	14	0	1289072.419	d304401f13271b0d2851cc54555433e2
A	62000008397099	1	13	10	0	1289063.149	ae18fdce8272352563c9cca90ac19b1c
A	62000008397114	1	13	8	0	1289082.340	919b7f33afec5e3c1f26778f3180f4da
A	62000008397117	1	17	10	0	1289066.652	164c06f464f14aa30be1272f2eb890c2
A	62000008397109	1	19	11	0	1289055.532	53c2dff343602653f3059acf9dbbbb38
A	62000008397120	1	17	10	0	1289069.708	02b9e2f872bcc2b494f7398fd406ea32
A	62000008397110	1	13	6	0	1289066.462	f1897e7dfc38bac0fe24661389787150
A	62000008397121	1	14	10	0	1289079.777	07baa32b1ad543d92a24c9bc647c6f89
A	62000008397111	1	17	13	0	1289070.686	799d48d5dfce3239a09d2ac1ee4b84cf
A	62000008397112	1	17	15	0	1289067.515	e796e2cd16a6b6551d69dce4f6dc0f8f
A	62000008397119	1	22	13	0	1289078.374	8fc37f415d77f2d79dc62a038ba60d19
A	62000008397115	1	18	15	0	1289077.262	fa825a685e526e5df4e681c9300c3de9
A	62000008397108	1	23	14	0	1289064.001	7d2bedcfd6fd5e7f0cfaeb148e32ec79
A	62000008397116	1	15	12	0	1289077.971	1926fdf7f16cd857336ad4453ab0695f
A	62000008397118	1	9	6	0	1289069.646	9cf174dc8205688258812878ce285fec
A	62000008397113	1	14	5	0	1289070.140	f3329a1f64ba5372ba174ea251bb92f4
B	67497566535904	1	23	14	0	1289074.846	a4a44fd67c2118817bca52ff1cdd097c
B	70796101419232	1	22	12	0	1289076.963	43ae93c2a84992e0b75f570ea7e398a5
A	62000008397123	1	12	10	0	1289068.050	42ce136f1b003078c44c38c14f2ba29b
B	74094636302560	1	15	7	0	1289089.483	2b9598f3b6ca539678fc03917b1de8a2
B	75194147930336	1	15	11	0	1289081.263	ed23396f113a96f8716a275251d25cca
B	64199031652576	1	17	15	0	1289071.227	d4cf6b9dead4f0b2ae48751b64067409
B	72995124674784	1	13	8	0	1289091.929	8d70a04ef362a34ce9c24b8d84216590
B	63099520024800	1	10	10	0	1289081.053	4241759f7a7e73ef20e4805f7c45416f
B	68597078163680	1	21	16	0	1289073.241	5ddb70a691bfd544865ad6566fb3b5a7
B	69696589791456	1	17	12	0	1289067.384	400e5e955877ecc62b27320a6b06f68d
B	65298543280352	1	20	20	0	1289065.675	f9f889f46cd305248766ed2ce631dc35
A	62000008397122	1	16	13	0	1289077.680	7374e533f8faf66744bf71761db796a3
B	71895613047008	1	14	12	0	1289063.218	45c6595d6c76c0f6ab166b124116c6b9
B	66398054908128	1	11	10	0	1289086.760	3f606a93bd667261f0f6ba14880c5cd1
B	82890729324768	1	20	12	0	1289069.215	40c5cfdbd197151ff077aa030c2471cc
B	77393171185888	1	21	11	0	1289074.146	89fdcfc9d134eb42650cf079c60c0c2a
B	86189264208096	1	16	17	0	1289079.234	3759c8563c082a74d1e4129aa7125a14
B	79592194441440	1	13	9	0	1289059.925	969e15a819bfd46e2d6d510958ada338
B	89487799091424	1	14	11	0	1289076.259	d5154cb3fa1b9983ed543a1cac000e51
B	78492682813664	1	19	11	0	1289090.233	cfcf3679a7fede473fc62820467263d4
B	88388287463648	1	12	8	0	1289080.878	a76b5032b2405ed5613a7beaf941a597
B	90587310719200	1	17	10	0	1289069.414	c2e2962dd6783bb59f41f436420d5c4f
B	83990240952544	1	13	8	0	1289068.634	9e020ed981a9e0e52b17032b8dbfdf7c
B	87288775835872	1	19	12	0	1289073.578	02506c6128cad9b682547c9faca10980
B	76293659558112	1	15	12	0	1289067.246	5c4df525df1655cee099efb8ddee07a9
B	80691706069216	1	12	10	0	1289059.954	382f31bf3e24192c99348e9f20122b75
B	85089752580320	1	18	13	0	1289084.151	52ae1ac7e914449d8232ff4182013490
B	81791217696992	1	15	7	0	1289063.588	a6df2754456eafb6e71ff46de6a3c8ae
B	98283892113632	1	18	12	0	1289097.754	e82f25ff9b9a11bd2113afc6c90c125f
B	92786333974752	1	8	9	0	1289085.478	217f421187645c44024675fdc3699247
B	101582426996960	1	23	18	0	1289079.092	5c588e4575310b7d1438c5e730ca491b
B	94985357230304	1	14	11	0	1289069.074	605eb21f9e3152b4ce492fd38dae83de
B	103781450252512	1	12	7	0	1289088.606	3b081558eadb4cf423a24a6ea4e97844
B	93885845602528	1	14	7	0	1289074.582	8276f55106d42a2c2fc63f800d707fda
B	104880961880288	1	13	8	0	1289094.569	94a4190893db7a41a9a485ab3b06a7d3
B	105980473508064	1	19	14	0	1289073.618	8b502328806da6904f442e75796dc33e
B	99383403741408	1	10	9	0	1289059.722	fe40cdf6cc8f3786db8b61165f0fcbbb
B	91686822346976	1	18	13	0	1289071.229	2fc3f2de2709c28d151202697bb2c5d2
B	102681938624736	1	16	12	0	1289083.663	5585b1b1777827a21de29077330e3db9
B	96084868858080	1	19	10	0	1289076.307	5c4c81ceec94ba6641b01f2b34be8110
B	100482915369184	1	9	8	0	1289068.978	453df8f2d283a154e97603eb0d396570
B	97184380485856	1	15	10	0	1289074.910	c092cfbd600390c25b17b00a7a7f5576
B	113677054902496	1	23	17	0	1289062.256	731e8bee56f58700d775c1aabd589982
B	108179496763616	1	17	8	0	1289080.945	0d7d6b5b5f6332cad08398bde2fa1ded
B	116975589785824	1	13	9	0	1289087.926	d9a227b7342bfc6dc7d34327dd842f85
B	110378520019168	1	16	10	0	1289080.585	1e0b2d2c07fdd10e456ab3d5a8fe11bb
B	109279008391392	1	21	9	0	1289070.982	0f87b5909ad7fd778bce2af1856b7c0f
B	119174613041376	1	19	9	0	1289071.144	59a0afe1541d725329b4966e479c87ed
B	114776566530272	1	20	12	0	1289086.104	6102725cd0b63b082543ae7c7c77185e
B	120274124669152	1	17	7	0	1289082.581	5679520f33489bb7497325b0905945b1
