tag	nonce	classical	n_shots	rung	ms	pair_ms	sim_ms	stream_fp
L16	62000008397025	16	9024	9024	7044	1878	5165	99f043d19b4fc0971ed7eb93957bdec2
L16	62000008397026	16	9024	9024	7228	1950	5277	42c9617cba4887c388ef87fd8e316c5e
L16	62000008397027	13	9024	9024	7649	2339	5310	e28af6ce7e738178d2eaa8d848acdb67
L16	62000008397028	18	9024	9024	7102	1702	5399	8c04560ae60cc6e0ae46babf8420fc24
L16	62000008397029	15	9024	9024	6896	2405	4491	eea1cdccdc7a1a86a04d2b892b621e08
L16	62000008397030	18	9024	9024	6512	1870	4641	1c4ce3a96b8cd31c4ccd9af20b79051c
L16	62000008397031	18	9024	9024	8562	2393	6169	e71dcf10e3b2a23ab2c460107d44ed3d
L16	62000008397032	16	9024	9024	6156	1621	4534	8ce231f67552e17e475c0e6fb59ef608
L16	62000008397033	18	9024	9024	7299	2190	5108	b16b38181e99c5032820eeb328e4683d
L16	62000008397034	18	9024	9024	6713	2479	4233	421d8cb4d32638648713bca65e635965
L16	62000008397035	11	9024	9024	6971	2393	4577	12bf7bc99c9a40c67b3981c142e78f8b
L16	62000008397036	12	9024	9024	6802	2266	4536	fdabed9876fe10251344840fb3d30eb7
L16	62000008397037	17	9024	9024	7010	2565	4444	f581037a9334343e67ec6a8ddb1810a6
L16	62000008397038	20	9024	9024	6265	2052	4212	bfb034491dddc55433c8c8635c9f9630
L16	62000008397039	14	9024	9024	7114	2173	4941	022765338b95e5562d7ce951b0b6b674
L16	62000008397040	13	9024	9024	7526	2284	5241	6183a79ca1ab35ffe46a6740ce02754d
L16	62000008397041	11	9024	9024	6569	2364	4204	22983319c874ce1288c98c488656a54b
L16	62000008397042	14	9024	9024	6691	2891	3800	3b0caecba3ceb800e07744a544857252
L16	62000008397043	17	9024	9024	6569	2076	4493	d8b23696764158cec79cb7ba396501b0
L16	62000008397044	15	9024	9024	5827	1650	4177	89ddd602155e46f4663d0812af6faad1
L16	62000008397045	23	9024	9024	6615	2130	4485	49118ee5e5f680522f8ec10171581aa0
L16	62000008397046	12	9024	9024	6971	2132	4839	2bf41664131942e1707121c94fa7dc2b
L16	62000008397047	13	9024	9024	6725	1958	4767	d7d69d98f016f28b1f159d70b7600c67
L16	62000008397048	15	9024	9024	7243	2353	4890	38308c0c0d7ac491ce94457123c741b4
L16	62000008397049	18	9024	9024	6066	2217	3848	4023c427e9bc02369fe2e5a0b9465185
L16	62000008397050	11	9024	9024	7908	2748	5159	75128c78ea6d969ef1ea54de7a9a7ab2
L16	62000008397051	17	9024	9024	5921	1666	4254	d46afad7a1232587a0c172313f29e4a0
L16	62000008397052	24	9024	9024	7218	2325	4892	6f589e7bbfd2e17cf74d852f46d33cf9
L16	62000008397053	16	9024	9024	6611	2073	4538	aa4044cb8b1cc1579664e62c482a89ee
L16	62000008397054	22	9024	9024	6569	1893	4675	9ca078fc519712221a512c259ab366a4
L16	62000008397055	11	9024	9024	7273	2020	5252	948f79b709ef03951d114e1beef6db19
L16	62000008397056	16	9024	9024	5289	1656	3632	2ab903781574d14467d26b47d56fde43
L16	62000008397057	19	9024	9024	7296	2707	4589	521d43553bc90d80d73874e8afa05650
L16	62000008397058	17	9024	9024	6952	2066	4886	27888bc53349c386e3b3898e48b02d3c
L16	62000008397059	21	9024	9024	6711	2276	4434	b9a54e8f78f0ef0789067fdeaebecaa0
L16	62000008397060	10	9024	9024	7108	2308	4799	c550fa4e46c9ea425e7a371fa73e11e4
L16	62000008397061	14	9024	9024	7575	2774	4801	785e3c21495d1bce0b1344b5257e094b
L16	62000008397062	15	9024	9024	5694	1573	4120	1fc39ae11d3519aa3c3c408625007ec6
L16	62000008397063	19	9024	9024	5754	1584	4170	00c0c133dafd309c92e562e3f9f9210a
L16	62000008397064	10	9024	9024	5910	1695	4215	7a03bd3aab63978de1d6b0e4e494e4ec
L16	62000008397065	17	9024	9024	7616	2557	5059	c8afa159441ed9fd6d929daeeef587e9
L16	62000008397066	16	9024	9024	5959	1532	4427	ec958efb7c318a59175654566a3b399b
L16	62000008397067	23	9024	9024	6050	1881	4168	bcfacc7c42ea82757f17203d2c6b579e
L16	62000008397068	26	9024	9024	6717	2130	4587	6166d052da5b98f703faeb86f4396ec6
L16	62000008397069	10	9024	9024	6294	1509	4784	c0c591522dc481fe75b235fa8f1abe2c
L16	62000008397070	17	9024	9024	5132	1643	3489	02b627f999790c8f248cbe5f4c87859c
L16	62000008397071	6	9024	9024	6875	2127	4748	503bc1b5aee333106df186ae13ccb62a
L16	62000008397072	17	9024	9024	6834	2067	4767	b6a831c50dcc721e7af2709f76fd8cb9
L16	62000008397073	20	9024	9024	6850	2352	4498	88f070560d32ecbc9571490b002b109a
L16	62000008397074	18	9024	9024	6969	2219	4750	8bf3ce2864408c77711c78d2e83e776d
L16	62000008397075	23	9024	9024	6780	2114	4666	1418d286b5760f751e8bac10d3ce2d5a
L16	62000008397076	14	9024	9024	5910	1467	4442	83c0757245705b25e4d688464529d2d2
L16	62000008397077	23	9024	9024	6848	1805	5043	4a4a8f1b2731ffff4a160329a66e67f1
L16	62000008397078	11	9024	9024	6454	2012	4441	502952e901a85ddc3a82e5e367fbff66
L16	62000008397079	21	9024	9024	6199	2011	4187	900f7321ddd633b4a8341bb30c6808d9
L16	62000008397080	18	9024	9024	6818	2188	4629	392a00dd6d4d251fe438a10e57774bc7
L16	62000008397081	18	9024	9024	6969	2347	4621	40ef2388ed1b1953448c07908c8e4513
L16	62000008397082	13	9024	9024	6848	2133	4714	3c22bd720d8c0d83cc82f25579cb249f
L16	62000008397083	15	9024	9024	6694	2006	4688	ea1bdd6c63e545554c18ed24150f46b9
L16	62000008397084	13	9024	9024	6270	2167	4103	b955a913eef2cd93d8be3561d0f496a1
L16	62000008397085	15	9024	9024	6661	2071	4589	0ab09ed7d62320dc5fd72a2c0e5e3a7d
L16	62000008397086	21	9024	9024	4982	1727	3254	124cb5fa337a4d9114d9db396dc1e7af
L16	62000008397087	10	9024	9024	6899	2261	4637	616ea2d9fec697791da2c713036f0d8f
L16	62000008397088	23	9024	9024	5788	1980	3807	7977c58c92c973ef559b971ca3dda6db
L16	62000008397089	16	9024	9024	6295	1817	4478	ebb7cd2dc132e99e7ab0353b1686cae1
L16	62000008397090	17	9024	9024	6414	1858	4555	b46c4a68803071260c71b263f3367b39
L16	62000008397091	18	9024	9024	5211	1611	3599	36813d6f632586d8b103c6bfba33077c
L16	62000008397092	22	9024	9024	7088	1991	5096	5fccee636a68ef9695d78a687224579c
L16	62000008397093	17	9024	9024	6717	2367	4350	39fcc1b5473c87d82d4c647a6e74e5a7
L16	62000008397094	17	9024	9024	5683	2154	3528	e038c48224ec4c6cce619c2180b7e92d
L16	62000008397095	8	9024	9024	6884	2164	4719	23f8d1edeb5c353eb06c254c2494e7e4
L16	62000008397096	16	9024	9024	6812	2213	4599	54665327be2e5a4cf5203a102de90459
L16	62000008397097	15	9024	9024	5264	1590	3673	740bfd775724fb3fdb162686b396a88d
L16	62000008397098	17	9024	9024	6341	2293	4047	01e11fbae870a3e0163629000f587fa0
L16	62000008397099	13	9024	9024	5695	2211	3483	f4e7ddf4a54c205050f1efd0beab55cc
L16	62000008397100	18	9024	9024	5339	1538	3801	957d0b092b2c6b6c75bedf5fa45ad32f
L16	62000008397101	17	9024	9024	6328	2069	4258	91ef1ba4ddc6de885163f69128eda335
L16	62000008397102	16	9024	9024	7366	2612	4754	f33bd03377c6ce579b3b13a0905d2c99
L16	62000008397103	12	9024	9024	6104	1941	4162	87b2f1196094f9d7d66b24d107b7666a
L16	62000008397104	14	9024	9024	6725	2361	4363	1cc976a4317ebb5abd4a3b3d10be0596
L16	62000008397105	15	9024	9024	5394	2008	3385	2b3b42fa9b50286a9665fcfb07d9a75b
L16	62000008397106	18	9024	9024	5613	1774	3839	006ac5dd81eec79391ca035c38dc394f
L16	62000008397107	21	9024	9024	6135	2291	3843	e81033cd7eea6b11d50db7862674c4d8
L16	62000008397108	23	9024	9024	6485	2212	4272	9416bbad5a22872dbfac8f792627fd06
L16	62000008397109	19	9024	9024	6477	2167	4310	ce12ab569605e69719acbf0ad152e728
L16	62000008397110	13	9024	9024	5999	2101	3898	a5f2620874df1142d38a1a3de9457c35
L16	62000008397111	17	9024	9024	6498	2102	4395	162be13038b48a203690600673c69364
L16	62000008397112	17	9024	9024	5272	1655	3616	df4f5b95f402e794523bbc6601453530
L16	62000008397113	14	9024	9024	4974	1984	2990	a320f1350b7327b36b24c234daf848f6
L16	62000008397114	13	9024	9024	5006	1504	3502	70068c046ad69d7d78583076059bcea0
L16	62000008397115	18	9024	9024	6497	2097	4399	296e7b89c4f95edd16d8ceceb032db08
L16	62000008397116	15	9024	9024	5520	1939	3581	febd2eb3253b2d17ab43c4309f846de4
L16	62000008397117	17	9024	9024	6719	2204	4514	055b8ca7825320b99d42fb997eec1bbb
L16	62000008397118	9	9024	9024	5413	2145	3267	f773bc52afe3890689ad17d3cf10a4e4
L16	62000008397119	22	9024	9024	5134	1684	3450	7a09b4e65eeefddf5f069e863d4d36b7
L16	62000008397120	17	9024	9024	6114	1676	4438	7902259632ab3060e0de98196887a7d7
L16	62000008397121	14	9024	9024	5900	1757	4143	3afbf192c3d71e3d2aa96b1766987559
L16	62000008397122	16	9024	9024	6704	2080	4623	b0055f8d0d429382222cea2601ca45d3
L16	62000008397123	12	9024	9024	4817	1626	3190	d2449748282007f7cb9f52f7a9bcf2a4
L16	63099520024800	10	9024	9024	4885	1498	3386	f5099b43546b86d985024ef282405b6a
L16	64199031652576	17	9024	9024	6078	1955	4122	3f9c62857b596f6e99645e9c46acc706
L16	65298543280352	20	9024	9024	6354	2793	3561	48aa719e85c1e8c41bf47e1b8ee889f3
L16	66398054908128	11	9024	9024	6321	2156	4165	baa029d6491f118460e3f80cbcacfb0f
L16	67497566535904	23	9024	9024	6709	2197	4512	31a29a8bf822894d83f5b4ed843c5fda
L16	68597078163680	21	9024	9024	6558	2051	4507	cd1140ed2a89445adcfd08a85523404f
L16	69696589791456	17	9024	9024	4602	1637	2965	23ceeb462854868dc722b4d0f2dc83dd
L16	70796101419232	22	9024	9024	4954	1586	3367	ce5009c3c8216c1a854a94b997c1a4b4
L16	71895613047008	14	9024	9024	6593	2348	4245	3596c5883b38c7e4a26b4a2c5582bcfd
L16	72995124674784	13	9024	9024	5104	1666	3438	21baecbc6d895ab6ef84a664b93b51ec
L16	74094636302560	15	9024	9024	6790	2252	4538	d3f4503520713ed22090e1d7e14c0f8b
L16	75194147930336	15	9024	9024	6315	2062	4252	fcace3509da53289356be9775b2532ee
L16	76293659558112	15	9024	9024	7188	2197	4990	91b45b9233759729c08b30684dd5fba6
L16	77393171185888	21	9024	9024	5556	1823	3732	1b159090d491518f06a5fb801915146e
L16	78492682813664	19	9024	9024	6691	2028	4663	1883b05b8685185cf26b0e9334f51071
L16	79592194441440	13	9024	9024	4865	1624	3241	334122e08b4e5429b91f0fed7ff22c90
L16	80691706069216	12	9024	9024	5793	1694	4098	11c11fd09805a9497949c6b6fdc4f19b
