nonce	harness_classical	screen_classical	diff
100482915369184	9	9	0
101582426996960	23	23	0
102681938624736	16	16	0
103781450252512	12	12	0
104880961880288	13	13	0
105980473508064	19	19	0
107079985135840	20	20	0
108179496763616	17	17	0
109279008391392	21	21	0
110378520019168	16	16	0
111478031646944	15	15	0
112577543274720	17	17	0
113677054902496	23	23	0
114776566530272	20	20	0
115876078158048	13	13	0
116975589785824	13	13	0
118075101413600	23	23	0
119174613041376	19	19	0
120274124669152	17	17	0
121373636296928	14	14	0
122473147924704	11	11	0
123572659552480	14	14	0
124672171180256	18	18	0
125771682808032	22	22	0
126871194435808	14	14	0
127970706063584	12	12	0
129070217691360	13	13	0
130169729319136	14	14	0
131269240946912	15	15	0
132368752574688	22	22	0
133468264202464	15	15	0
134567775830240	10	10	0
135667287458016	21	21	0
136766799085792	14	14	0
137866310713568	13	13	0
138965822341344	25	25	0
140065333969120	14	14	0
141164845596896	17	17	0
142264357224672	18	18	0
143363868852448	16	16	0
144463380480224	18	18	0
145562892108000	14	14	0
146662403735776	17	17	0
147761915363552	19	19	0
148861426991328	11	11	0
149960938619104	18	18	0
151060450246880	13	13	0
152159961874656	21	21	0
153259473502432	24	24	0
154358985130208	15	15	0
155458496757984	16	16	0
156558008385760	14	14	0
157657520013536	13	13	0
158757031641312	26	26	0
159856543269088	13	13	0
160956054896864	17	17	0
162055566524640	13	13	0
163155078152416	17	17	0
164254589780192	11	11	0
165354101407968	18	18	0
166453613035744	18	18	0
167553124663520	20	20	0
168652636291296	16	16	0
169752147919072	18	18	0
170851659546848	10	10	0
171951171174624	20	20	0
62000008397025	16	16	0
62000008397026	16	16	0
62000008397027	13	13	0
62000008397028	18	18	0
62000008397029	15	15	0
62000008397030	18	18	0
62000008397031	18	18	0
62000008397032	16	16	0
62000008397033	18	18	0
62000008397034	18	18	0
62000008397035	11	11	0
62000008397036	12	12	0
62000008397037	17	17	0
62000008397038	20	20	0
62000008397039	14	14	0
62000008397040	13	13	0
62000008397041	11	11	0
62000008397042	14	14	0
62000008397043	17	17	0
62000008397044	15	15	0
62000008397045	23	23	0
62000008397046	12	12	0
62000008397047	13	13	0
62000008397048	15	15	0
62000008397049	18	18	0
62000008397050	11	11	0
62000008397051	17	17	0
62000008397052	24	24	0
62000008397053	16	16	0
62000008397054	22	22	0
62000008397055	11	11	0
62000008397056	16	16	0
62000008397057	19	19	0
62000008397058	17	17	0
62000008397059	21	21	0
62000008397060	10	10	0
62000008397061	14	14	0
62000008397062	15	15	0
62000008397063	19	19	0
62000008397064	10	10	0
62000008397065	17	17	0
62000008397066	16	16	0
62000008397067	23	23	0
62000008397068	26	26	0
62000008397069	10	10	0
62000008397070	17	17	0
62000008397071	6	6	0
62000008397072	17	17	0
62000008397073	20	20	0
62000008397074	18	18	0
62000008397075	23	23	0
62000008397076	14	14	0
62000008397077	23	23	0
62000008397078	11	11	0
62000008397079	21	21	0
62000008397080	18	18	0
62000008397081	18	18	0
62000008397082	13	13	0
62000008397083	15	15	0
62000008397084	13	13	0
62000008397085	15	15	0
62000008397086	21	21	0
62000008397087	10	10	0
62000008397088	23	23	0
62000008397089	16	16	0
62000008397090	17	17	0
62000008397091	18	18	0
62000008397092	22	22	0
62000008397093	17	17	0
62000008397094	17	17	0
62000008397095	8	8	0
62000008397096	16	16	0
62000008397097	15	15	0
62000008397098	17	17	0
62000008397099	13	13	0
62000008397100	18	18	0
62000008397101	17	17	0
62000008397102	16	16	0
62000008397103	12	12	0
62000008397104	14	14	0
62000008397105	15	15	0
62000008397106	18	18	0
62000008397107	21	21	0
62000008397108	23	23	0
62000008397109	19	19	0
62000008397110	13	13	0
62000008397111	17	17	0
62000008397112	17	17	0
62000008397113	14	14	0
62000008397114	13	13	0
62000008397115	18	18	0
62000008397116	15	15	0
62000008397117	17	17	0
62000008397118	9	9	0
62000008397119	22	22	0
62000008397120	17	17	0
62000008397121	14	14	0
62000008397122	16	16	0
62000008397123	12	12	0
63099520024800	10	10	0
64199031652576	17	17	0
65298543280352	20	20	0
66398054908128	11	11	0
67497566535904	23	23	0
68597078163680	21	21	0
69696589791456	17	17	0
70796101419232	22	22	0
71895613047008	14	14	0
72995124674784	13	13	0
74094636302560	15	15	0
75194147930336	15	15	0
76293659558112	15	15	0
77393171185888	21	21	0
78492682813664	19	19	0
79592194441440	13	13	0
80691706069216	12	12	0
81791217696992	15	15	0
82890729324768	20	20	0
83990240952544	13	13	0
85089752580320	18	18	0
86189264208096	16	16	0
87288775835872	19	19	0
88388287463648	12	12	0
89487799091424	14	14	0
90587310719200	17	17	0
91686822346976	18	18	0
92786333974752	8	8	0
93885845602528	14	14	0
94985357230304	14	14	0
96084868858080	19	19	0
97184380485856	15	15	0
98283892113632	18	18	0
99383403741408	10	10	0
