nonce	classical	n_shots	rung	ms	stream_fp
100482915369184	9	9024	9024	59213	fcd82f5fd28d163966a4ea2f0ba1723d
101582426996960	23	9024	9024	71538	4cfd98537ab89dde33c9d1d3afa5dc2a
102681938624736	16	9024	9024	66801	d43a787a5319b060c62184a65e9f24e3
103781450252512	12	9024	9024	62853	01620f745471b58e1b6a0997a2cb65b3
104880961880288	13	9024	9024	64066	b2ea63d29b00d76e6ac071f273790698
105980473508064	19	9024	9024	71463	639dd4aa7e733900fab2b5afc6548428
107079985135840	20	9024	9024	65624	6c172670da007cc9a271e253538a6082
108179496763616	17	9024	9024	64350	98ebaebe02ffc33cecab8bf0e345add0
109279008391392	21	9024	9024	67931	33d50c281366fff66c030a5035860fad
110378520019168	16	9024	9024	60041	67f38bcb4d165bff30356f17efdb0175
111478031646944	15	9024	9024	64335	db13dd05a9a7afc41f1c9281f1af86d1
112577543274720	17	9024	9024	64640	d33f539098d38caa0b5d2cf1982077a3
113677054902496	23	9024	9024	62385	bc74156064f3d80fca6dfd9d727d93ac
114776566530272	20	9024	9024	66788	10022e01b043141b676c63324faac681
115876078158048	13	9024	9024	66976	6331b68d5c04bdd561677bd116998d70
116975589785824	13	9024	9024	70742	07f5447ca75eb8a601a57212e9ce40ef
118075101413600	23	9024	9024	67354	da5a8e00fc14f300a14bc9901a4d0b3c
119174613041376	19	9024	9024	70163	ef005b84ab3dc3af937ae0a4bf0a01e6
120274124669152	17	9024	9024	59146	82585e5fce675d1fa80982dca5474159
121373636296928	14	9024	9024	61845	efa2418f5da610ab2ee2fa6aaad2e929
122473147924704	11	9024	9024	70420	db4d2c88b7f6298223a667bb799691d9
123572659552480	14	9024	9024	65846	66b049cf871d48d6def64944c947ffba
124672171180256	18	9024	9024	68959	bc6fa530fc454ea44ee8eea99f6e06dd
125771682808032	22	9024	9024	68786	0d179bffa54e0d23a9070731062d4b99
126871194435808	14	9024	9024	71274	897014393e39fbe46a378c7461de56a7
127970706063584	12	9024	9024	68893	1d48207d6716c3cc486f755141fb0888
129070217691360	13	9024	9024	63831	8e6be7dd4ac1be721c6486c9fea3417f
130169729319136	14	9024	9024	68093	9082f6d2313500e894c0a01db6c788cc
131269240946912	15	9024	9024	60259	12587823c64f1028ca19bdcd41b9415d
132368752574688	22	9024	9024	63105	f139a3ce2d2dcab4e233c5243d58075e
133468264202464	15	9024	9024	69917	202650795f62f9644ac5e521e48fdd8a
134567775830240	10	9024	9024	66726	3d055bca22003cd20a83a888df4a332a
135667287458016	21	9024	9024	65672	5285a32570a743b693a66bd43baee354
136766799085792	14	9024	9024	69228	b9109dd84b7db4f33f129931d2d28513
137866310713568	13	9024	9024	69584	04371b58ca52daec9d873cbce09f1eba
138965822341344	25	9024	9024	65963	6387c3d3f6172fa6b59092186f6715e6
140065333969120	14	9024	9024	70351	0a165e13cc1d990f5c3e9ca4de320afc
141164845596896	17	9024	9024	71329	d8df5c8c2fcd9bc94e99d839fd298535
142264357224672	18	9024	9024	70592	2edca11244c4c7d15287cd79b0c440fe
143363868852448	16	9024	9024	72299	64e5257fa2fad0fe936260bb2ee1e477
144463380480224	18	9024	9024	63716	bceaafd42b6376f34778548d9e3edd4b
145562892108000	14	9024	9024	70526	23388fd8fb59aed1c67df1191e6d62a1
146662403735776	17	9024	9024	71652	8753efcddd89c491c225e099c543804e
147761915363552	19	9024	9024	70148	f9d9a5be27861abdda5b201e955d5ab6
148861426991328	11	9024	9024	74623	afa59d1d84fe01c0a4b4c3a0a1b32fd9
149960938619104	18	9024	9024	67664	1479c5d032245b4550b06d871361eab6
151060450246880	13	9024	9024	67489	759c8445013c117022c894892011482a
152159961874656	21	9024	9024	71334	229c9ac765dd04badd129429bc9ccf7a
153259473502432	24	9024	9024	68938	e23275a14ba5411aa8fccd81fb7f60ce
154358985130208	15	9024	9024	71265	fc4eefb15c8ca156a9fc7851edb737ef
155458496757984	16	9024	9024	70200	db1d186a6f85221d2c05d84222b73f58
156558008385760	14	9024	9024	68923	ef36e79c0620af5322dbaeac52dae540
157657520013536	13	9024	9024	60404	a2e57021f58cbb3970857c8fd83f88b4
158757031641312	26	9024	9024	64195	e21eb7121b5e8996d8409908aff879dd
159856543269088	13	9024	9024	69194	76a25cae7e91dea0296afc37a0bbdc7b
160956054896864	17	9024	9024	68967	3cebe2da21285e84d7b9192d4af03110
162055566524640	13	9024	9024	64424	6370f87dda483fb36324c47afb32bcef
